[(['0.576', '-0.999', '-0.999'], 'overall', [['palm', 10], ['verizon', 27]], [])]	Review :  Palm Pre Plus on Verizon
[]	By Dieter Bohn | Wednesday ,  Jan 20 ,  2010 | 121 comments »
[(['-0.844', '-0.991', '0.317'], 'overall', [['palm', 0], ['verizon', 29], ['hardware', 62], ['apps', 107], ['verizon', 144], ['hardware', 181], ['software', 267], ['wifi', 361], ['palm', 380], ['verizon', 418], ['mail', 469]], [['cool', 253]])]	Palm has updated the Pre for Verizon ,  slightly tweaking the hardware and upping the RAM available to run apps .  The Pre Plus is exclusive to Verizon and in addition to the noted hardware updates ,  the Pre Plus also will have an innovative and crazy-cool piece of software available for it called “Mobile Hotspot, "  which turns the Pre Plus into a mobile WiFi router .  The Palm Pre Plus arrives January 25th on Verizon ,  exclusively ,  for $149.99 after a $100 mail-in rebate and a two-year contract .
[(['-3.746', '-0.056', '2.501'], 'overall', [['palm', 14], ['sprint', 174], ['verizon', 210]], [['few', 34], ['quite', 71], ['simple', 77], ['definitely', 93], ['better than', 104], ['but', 136], ['so much', 146], ['better', 154]])]	We've had the Palm Pre Plus for a few days now and our initial take is quite simple :  it 's definitely better than the original Pre ,  but is it so much better that current Sprint subscribers should switch to Verizon ?  Read on to find out !
[]	The Basics of Pre Plus in 10 minutes
[(['0.576', '-0.999', '-0.999'], 'overall', [['webos', 24], ['palm', 85], ['palm', 157], ['palm', 174], ['webos', 196]], [])]	If you are brand-new to webOS and are looking to just get the quick low-down on what Palm has in store for you ,  here 's a quick ten-minute overview of the Palm Pre Plus ,  Palm Pixi Plus ,  and webOS in general .
[(['-1.724', '-0.764', '0.794'], 'overall', [['palm', 51], ['people', 110], ['webos', 145], ['palm', 167], ['palm', 257], ['webos', 304], ['software', 310], ['palm', 362], ['webos', 429]], [['mostly', 18], ['but', 68], ['plenty', 80], ['more', 134], ['but', 217], ['incredible', 274]])]	We'll be covering mostly what 's new here with the Palm Pre Plus ,  but we have plenty of other resources for people looking to learn more about webOS .  Our original Palm Pre Review is comprehensive in the extreme - but read it with the understanding that Palm has done an incredible job updating their webOS software since we first released that review .  Our Palm Pre Guide has a general overview of the major concepts behind webOS ,  so be sure to check that out too .
[]	Let 's get on with the review !
[(['0.576', '-0.999', '-0.999'], 'overall', [['hardware', 0], ['design', 11]], [])]	Hardware & Design
[]	Everybody loves a good unboxing
[(['0.576', '-0.999', '-0.999'], 'overall', [['palm', 23], ['palm', 79], ['palm', 91], ['hardware', 153], ['design', 162], ['memory', 220]], [])]	At first glance ,  the Palm Pre Plus looks basically identical to the original Palm Pre .  Palm has made only a handful of subtle changes to the overall hardware design .  They have doubled the available RAM and storage memory too ,  which we'll get to below .  Let 's go over the physical changes first .
[(['-4.987', '0.230', '2.180'], 'overall', [['palm', 35], ['button', 73], ['gesture area', 87], ['design', 142], ['back', 205], ['card', 213], ['button', 351], ['swipe', 453], ['functionality', 479], ['button', 542], ['experience', 635]], [['simple', 161], ['simply', 266], ["doesn't", 297], ['however', 361], ['however', 361], ['good', 376], ['more', 407], ['more', 435], ['more', 622]])]	The most noticeable change is that Palm has removed the vestigial center button in the gesture area .  They've opted to duplicate the Pixi 's design by having a simple ,  tappable area that will bring you back to card view .  In my usage thus far ,  I've found that simply tapping the center area doesn't work as reliably as pressing an actual center button .  However ,  the good news is that the slightly more intuitive and slightly more fun ‘Quick Swipe Up' duplicates that functionality .  On the whole I think that removing the center button was the right move ,  it gives the Pre Plus a cleaner overall look and a more elegant experience .
[(['-6.866', '1.750', '3.722'], 'overall', [['hardware', 29], ['keyboard', 53], ['palm', 65], ['highlights', 92], ['feel', 206], ['keyboard', 218], ['buttons', 234], ['palm', 316], ['palm', 392], ['keyboard', 405], ['keyboard', 487], ['keyboard', 562], ['feedback', 600]], [["don't", 142], ['too much', 153], ['more', 165], ['better', 260], ['plenty', 339], ['small', 439], ['but', 471], ["isn't", 496], ['quite', 502], ['good', 511], ['better', 593], ['real', 626]])]	Next up on the list of minor hardware changes is the keyboard .  Palm has switch the orange highlights on the original Pre to grey ,  which I don't mind too much .  More importantly ,  they've improved the feel of the keyboard .  The buttons have a firmer and better ‘click' to them compared to the somewhat mushy Palm Pre .  I've given plenty of kudos to the extreme ‘clickiness' of the Palm Pixi 's keyboard and the Pre Plus makes a small step in that direction ,  but overall the keyboard isn't quite as good as the Pixi .  Still ,  the click action on a keyboard matters - it provides better feedback which results in real-world speed and responsiveness .
[(['-6.366', '2.462', '2.046'], 'overall', [['keyboard', 41], ['usable', 73], ['keyboard', 225], ['palm', 295], ['auto-correction', 322], ['software', 338], ['double-tap', 373]], [['very', 53], ['small', 58], ['but', 64], ['very', 68], ['few', 93], ['really', 135], ['accurate', 160], ['no', 189], ['small', 250], ['good', 317]])]	As with the original Pre and Pixi ,  the keyboard is very small but very usable .  Give it a few days before you make a judgment - you really can get quick and accurate with it .  There 's no getting around the fact that the keyboard is a bit on the small side ,  though ,  and it would behoove Palm to throw in some good auto-correction software algorithms and maybe a ‘double-tap-space-for-period' action .
