[(['0.576', '-0.999', '-0.999'], 'overall', [['iphone', 0]], [])]	iPhone 3GS Review
[(['-0.497', '0.569', '-1.780'], 'overall', [['iphone', 39], ['iphone', 138]], [['old', 75]])]	imageWhat 's the point in buying a new iPhone if it looks exactly like the old one ?  Because once you start using it ,  the speed of the iPhone 3GS will amaze you .
[(['0.576', '-0.999', '-0.999'], 'overall', [['body', 11], ['body', 27], ['body', 43], ['body', 59], ['body', 75], ['body', 91]], [])]	iPhon3 3GS Body iPhon3 3GS Body iPhon3 3GS Body iPhon3 3GS Body iPhon3 3GS Body iPhon3 3GS Body
[(['-1.334', '-0.173', '-0.445'], 'overall', [['apple', 22], ['iphone', 44], ['video recording', 113], ['3g', 246], ['iphone', 288]], [['not', 69], ['biggest', 197], ['definitely', 312], ['no', 323]])]	There 's a reason why Apple called this the iPhone 3GS for Speed and not the 3GC for “compass "  or 3GV for “video recording. "  Speed is the central upgrade here ,  and probably is the single biggest reason you would upgrade to a 3GS from a 3G .  And if you're coming in as a virgin iPhone user ,  there 's definitely no question :  The 3GS is worth an extra $100 .
[(['-7.145', '2.979', '-0.832'], 'overall', [['features', 70], ['iphone', 134], ['feature', 172], ['tv', 233], ['back', 363], ['costs', 382]], [['weird', 24], ['not', 86], ["doesn't", 145], ['faster', 241], ['old', 260], ['fine', 283], ['but', 291], ['never', 346]])]	That declaration may be weird to most of us since we usually look for features ,  and not specs ,  when we're evaluating phones—and iPhone 3GS doesn't blow us out in the feature department .  Instead ,  it 's like getting a bigger TV or a faster car .  Your old machine works just fine ,  but once you've tried the new one for a week ,  you'll never want to go back ,  even if it costs you a little extra .
[(['-0.644', '-0.675', '-0.966'], 'overall', [['3g', 68], ['glossy', 105], ['text', 112], ['back', 124]], [['same as', 56], ['but', 132], ["wouldn't", 207], ['able to', 226]])]	Like we said ,  from the outside the 3GS is exactly the same as the 3G .  It 's slightly heavier and has glossy text on the back ,  but if Steve Jobs whipped one out in public before it was announced ,  you wouldn't have been able to tell the difference .
[(['-3.490', '-0.301', '2.367'], 'overall', [['3g', 31], ['screen', 60], ['effect', 196], ['smooth', 379], ['usable', 390]], [['more', 79], ['surprisingly', 239], ['good', 298], ['smooth', 379]])]	By holding the 3GS next to the 3G ,  you'll notice that the screen is slightly more reflective because of the new fingerprint resistant oleophobic coating .  It even has a little bit of a rainbow effect if you reflect a monitor with it .  Surprisingly ,  the coating actually works in preventing a good deal of fingerprints and face grease ,  and it allows the phone to still be smooth and usable even if there are fingerprints on the surface .
[(['-3.705', '0.096', '0.960'], 'overall', [['screen', 122], ['iphone', 140], ['usable', 160]], [['similar', 68], ['how much', 79], ['but', 132], ["doesn't", 171], ['problem', 188], ['easier', 272], ["won't", 340], ['but', 407], ['very', 419], ['improvement', 431]])]	imageThe shot above illustrates the fact .  The two phones may look similar in how much finger and face grease are on the screen ,  but the iPhone 3GS is still usable and doesn't have the problem of “sticking "  in certain areas that are slightly greasier .  It 's also easier to clean just by wiping on your shirt .  The glass treatment won't eliminate smudging from your bodily secretions altogether ,  but it 's a very useful improvement for something you're touching all the time .
[(['-3.002', '-0.537', '0.510'], 'overall', [['display', 13], ['3g', 57], ['3g', 147], ['screen', 153], ['2g', 185], ['screen', 243], ['brightness', 294]], [['ever', 24], ['not', 200], ['easier', 262], ['high', 318]])]	imageThe 3GS display is ever-so-slightly warmer than the 3G 's ,  having a yellow/orangish tint when viewed side by side .  If you remember ,  the 3G 's screen was also warmer than the 2G 's .  It 's not distracting in any way ,  and the warm screen is slightly easier on your eyes even if the brightness is bumped up high .
[(['-6.480', '1.637', '3.366'], 'overall', [['video', 9], ['iphone', 41], ['email', 68], ['camera', 77], ['iphone', 123], ['3g', 130], ['software', 152], ['apps', 218], ['touch', 289], ['device', 354], ['experience', 424], ['apps', 518]], [['really', 15], ['noticeably', 93], ['faster than', 104], ['how much', 304], ['faster', 313], ['faster', 391], ['old', 474], ['but', 544], ['much', 566], ['more', 571], ['smoothly', 576], ['much', 669], ['better', 674]])]	imageThe video really shows how fast the iPhone 3GS is .  Safari ,  Email ,  Camera all load noticeably faster than on the iPhone 3G ( both running 3.0 software ) .  Even booting the phone takes about half the time .  Apps with long load times ,  like Sims 3 ,  Oregon Trail or Metal Gear Touch all show how much faster you get up and running on the new device .  Seriously ,  everything is faster .  It 's exactly the same experience as switching from a two- or three-year-old computer to something brand new .  Your apps all look the same ,  but they load and run much more smoothly .  Even if you're doing the same things on both machines ,  the new machine is that much better to work on .
[(['-0.476', '-1.366', '0.651'], 'overall', [['iphone', 46], ['apps', 53], ['games', 62], ['iphone', 80], ['cpu', 111], ['performance', 185], ['apps', 209]], [['much', 173], ['standard', 251], ['impressive', 303], ['essentially', 472]])]	What does this speed increase mean for future iPhone apps and games ?  With the iPhone 3GS running on a 600MHz CPU with 256MB RAM ( up from 400MHz and 128MB ) ,  there 's a much higher performance ceiling for apps to hit .  The OpenGL ES 2.0 graphics standard that 's now supported paves the way for an impressive visual boost .  Hubert ( a former Nvidia developer ) from Ubergizmo says it 's somewhere along the lines of going from Half Life 1 to Half Life 2 ,  which is essentially going up a console generation .  Gamers should pay attention .
